Team-year,AdjO,AdjD,AdjT,Win50,OppEM,OppO,OppD,OppEM
Wis.-La Crosse2022,124.8,94.2,72,13.3,13.2,106.8,93.6,12.2
Chris. Newport2022,113.9,83.5,74,4.9,4.5,100.5,96,4.5
Claremont-M-S2022,113.4,83.4,74.1,1.7,5,103.1,98.2,6.3
Williams2022,114.2,87.7,64.4,3.7,1.4,96.4,95.1,0.5
Saint Joseph (CT)2022,107.8,81.9,70.7,11.6,9.9,103.7,93.8,12.8
Johns Hopkins2022,114.6,88.9,70.1,3.2,5.5,100.8,95.2,9.3
Swarthmore2022,114,89.3,68.4,8.3,8.4,101.5,93.1,12.6
Randolph-Macon2022,106.8,82.9,67.8,11.4,10.4,106.5,96.1,9.2
Keene St.2022,115.1,91.3,78.5,-1.8,-0.5,98.1,98.6,-0.7
Guilford2022,107,83.5,66.5,3.8,7.1,104.8,97.6,12.4
Emory2022,112,88.8,77.8,4.4,5.2,101,95.9,5.2
NYU2022,117.1,93.9,73.9,-8.4,-6.6,96.9,103.6,-6.6
Hampden-Sydney2022,110.4,87.6,75.1,10.5,10.1,103,92.9,9.7
Wis.-Oshkosh2022,103.7,81.3,69.4,8.9,9.1,103.5,94.5,9.7
Wis.-Eau Claire2022,113.6,91.3,67.3,2.5,3.1,103.7,100.6,-0.7
Wheaton (IL)2022,111,89,69,2.6,4.5,102.6,98.1,4.6
Rochester (NY)2022,114,93.1,72.3,12.2,10.5,103,92.5,10.5
St. Thomas (TX)2022,108.5,88,69.4,10.3,12.7,105.2,92.6,15
Nazareth2022,108.4,88.5,70.9,6.7,3,105.3,102.3,7.3
Hobart2022,112.3,92.7,68,6.9,7.4,102.1,94.8,6.9
Widener2022,104.1,85,72.6,9.7,7.9,102.3,94.4,7.5
Mount Union2022,111.8,92.7,79.5,6.7,7,102.6,95.7,5.8
Rensselaer2022,100.4,81.6,69.3,0.9,5.7,104.9,99.2,4.9
Oswego St.2022,105.6,86.9,73,2.2,3.3,98.9,95.6,9.6
East Tex. Baptist2022,112.6,93.9,74.1,2.5,5.2,103.6,98.4,6
Elmhurst2022,108,89.6,79,-1.6,1.7,102.3,100.6,-2.2
Saint Johns (MN)2022,109.1,91,67.7,3.1,6.5,104.1,97.6,18.6
Roanoke2022,108.5,90.6,75.4,4.7,3.4,101.2,97.8,6.1
WPI2022,107.1,89.1,67.8,2.7,0.7,98,97.3,0.7
Catholic2022,99.7,81.9,73.2,0.5,-2.4,97.7,100.1,-0.6
SUNY Oneonta2022,106.9,89.1,72.3,-3.7,-3.8,96,99.8,-7.4
DeSales2022,110.7,93.1,68.9,-8.7,-4.1,96.1,100.2,0.3
Calvin2022,104.7,87.4,69.7,3.9,8.3,104.7,96.4,8.3
Central (IA)2022,102.6,85.5,69.8,-0.3,-1.7,98.9,100.6,-5.3
Rowan2022,109.6,93,83.8,6.3,8.2,103.7,95.5,9.8
Kean2022,108.1,91.5,73.3,-2.4,-2.4,96.2,98.6,-3
Marietta2022,108.9,92.8,70.9,6.7,12,111.3,99.3,16.8
Brandeis2022,105.2,89.1,71.9,1.4,1.7,99.5,97.8,1.7
Connecticut Col.2022,101.4,85.3,63.5,-3.3,-3.1,95.2,98.3,-3.1
Mary Washington2022,105.3,89.4,69,15.4,10.8,104.4,93.6,10.8
Emerson2022,106.5,90.7,71.3,9.1,8.3,103.6,95.4,8.3
Middlebury2022,105.4,89.8,68.8,9.3,7.5,102.2,94.8,7.5
N.C. Wesleyan2022,105.8,90.2,70.9,13.5,10.9,104.3,93.5,10.9
Utica2022,109.8,94.3,74.4,-14.8,-10.7,92.7,103.4,-7.7
Tufts2022,108.5,93,73.3,7.3,4.8,100.3,95.5,4.8
Montclair St.2022,109.7,94.2,74.6,-7.2,-8.1,92.8,100.9,-8.6
Trinity (CT)2022,105,89.6,72.4,-1.8,-3.9,94.6,98.5,-3.9
North Park2022,109.1,94.2,74.4,5.2,2.8,101.6,98.8,1
Texas-Dallas2022,103.1,88.6,72.8,1.4,3.2,99.8,96.5,4.6
Alvernia2022,107.9,93.7,73.1,9.8,8.6,101.8,93.3,7.6
Stockton2022,107.9,93.7,71.6,8.4,6.6,101.3,94.7,11.7
Colby2022,107.2,93.1,70,1,0,98.4,98.3,-0.4
Scranton2022,107.4,93.3,71.5,-2.8,-0.2,93.7,93.9,2.2
Wilkes2022,100,86,69.7,-3.2,0.2,97.7,97.5,1.1
Drew2022,101.3,87.4,69.8,-7.5,-7.1,92.1,99.1,-8.8
Va. Wesleyan2022,107.1,93.5,68.5,-1.8,4.8,101.3,96.5,3.8
Mary Hardin-Baylor2022,109,95.7,73.4,8.7,12.3,108.3,96,15.8
John Carroll2022,105.2,91.9,78.9,0.9,0.3,98.7,98.4,2.8
Clark (MA)2022,107.2,94,72.2,-7.5,-11.1,91.1,102.2,-11.1
Western New Eng.2022,107.2,94,74.7,-7.5,-4.2,92.9,97,-2.6
Heidelberg2022,109.8,96.9,72.6,2.9,3.6,102.7,99,0.9
CWRU2022,110.7,98,73,0.9,0.1,100.4,100.4,0.1
Ursinus2022,109.7,97,76.8,6,1.2,98.7,97.5,-1.2
Carnegie Mellon2022,101.6,88.9,77.6,3.2,5.1,101.5,96.5,5.1
Ill. Wesleyan2022,103.4,91,69.4,6.6,10.2,104,93.9,12.7
Dubuque2022,107.6,95.2,69.4,0.8,1,98.8,97.8,-3.8
DePauw2022,108.4,96,71,0.7,-0.9,97.8,98.7,-3.2
Illinois Col.2022,101.2,88.8,70.1,2.1,-0.3,97,97.3,-1.9
Eastern2022,101.2,88.9,76.8,2.8,1.5,97.2,95.7,1.4
Berry2022,106.8,94.6,70.6,-3.7,-6.1,97.8,103.9,-6.8
Trine2022,100.3,88.3,68.8,-1.3,-0.9,98.6,99.5,-0.9
Wis.-Platteville2022,110,98.2,69.8,3.9,6.4,102,95.7,3.2
UC Santa Cruz2022,99.3,87.6,76.2,5.2,5.9,103.4,97.5,5.9
Hood2022,109.3,97.8,71.7,3.2,4.2,98.4,94.2,4.6
Wash. & Lee2022,109.3,97.9,74.2,1.2,7.9,103.1,95.2,3.9
SUNY Brockport2022,98.8,87.4,75.9,6.7,3.2,101.4,98.2,1.8
Nichols2022,104.2,92.9,82,-1.1,-2,98.3,100.3,-2.6
St. Norbert2022,103.2,92.1,69.9,0.5,0.4,101.6,101.3,2.7
Wooster2022,104.6,93.5,70.7,0.5,4.1,104.5,100.4,2.7
Babson2022,103.5,92.5,74.4,2.1,4.9,99.1,94.1,4.9
Wis.-Whitewater2022,111.3,100.6,72.4,7.9,7.4,106,98.6,4.9
Bethany Lutheran2022,110.7,100,81.9,4.7,3.6,98.9,95.4,3.6
Hamilton2022,106.9,96.4,74.6,-1.7,-0.7,98.1,98.8,-0.7
WashU2022,104.2,93.8,68.7,3.8,-1.1,100.5,101.6,-1.1
Carthage2022,111.9,101.5,72.4,8.5,3.5,98.4,94.9,0.5
Redlands2022,103.7,93.3,82.6,5.3,4,102.5,98.5,5
Suffolk2022,106.3,96.1,68.7,3.1,3.2,100.6,97.4,-0.4
Trinity (TX)2022,100.5,90.4,78.7,6.1,6.2,103.1,96.9,4.1
Muhlenberg2022,105.8,95.8,71.5,6.3,6.4,104.9,98.5,-8.1
Geneva2022,110.4,100.4,70.3,-2.8,-4.3,97.8,102.1,-4.3
Averett2022,95.5,85.6,68.1,-2.7,3.4,101,97.6,1.9
